UIC;Gare enquêtée;Motif du déplacement;POURCENTAGE;Année
444000.0;Caen;Déplacement professionnel occasionnel;12.0;2012
471003.0;Rennes;Déplacement domicile - travail habituel;37.0;2014
547000.0;Paris Austerlitz;Démarches administratives, médicales ou achat;3.0;2013
673400.0;Biarritz;Démarches administratives, médicales ou achat;5.0;2016
713040.0;Dijon;Déplacement domicile - travail habituel;23.0;2015
718007.0;Besançon-Viotte;Démarches administratives, médicales ou achat;4.0;2012
723197.0;Lyon Part Dieu;Déplacement domicile - travail habituel;34.0;2011
756056.0;Nice;Déplacement domicile - étude (y compris stage);20.0;2014
757625.0;Cannes;Démarches administratives, médicales ou achat;4.0;2015
773002.0;Montpellier Saint-Roch;Loisirs, vacances, visite d'un proche ou ami;37.0;2015
141002.0;Nancy;Loisirs, vacances, visite d'un proche ou ami;23.0;2014
182014.0;Colmar;Démarches administratives, médicales ou achat;3.0;2017
300863.0;Besançon Franche-Comté TGV;Déplacement domicile - travail habituel;16.0;2015
345025.0;Lens;Déplacement domicile - étude (y compris stage);28.0;2016
393702.0;Massy TGV;Loisirs, vacances, visite d'un proche ou ami;29.0;2013
481002.0;Nantes;Déplacement domicile - travail habituel;39.0;2014
571000.0;Tours;Déplacement domicile - travail habituel;42.0;2016
581009.0;Bordeaux Saint-Jean;Déplacement domicile - travail habituel;17.0;2014
673004.0;Bayonne;Démarches administratives, médicales ou achat;2.0;2013
762906.0;Lyon Saint Exupery TGV;Déplacement domicile - travail habituel;13.0;2016
775007.0;Nîmes;Déplacement domicile - étude (y compris stage);16.0;2014
111849.0;Marne la Vallée Chessy;Loisirs, vacances, visite d'un proche ou ami;52.0;2013
271494.0;Aéroport Charles de Gaulle 2 TGV;Déplacement domicile - travail habituel;8.0;2013
396002.0;Le Mans;Déplacement domicile - travail habituel;37.0;2015
411017.0;Rouen Rive Droite;Démarches administratives, médicales ou achat;4.0;2014
476002.0;Lorient;Déplacement domicile - travail habituel;24.0;2010
677005.0;Hendaye;Déplacement professionnel occasionnel;14.0;2016
757625.0;Cannes;Déplacement professionnel occasionnel;5.0;2015
